customer_id,recency_days,frequency,monetary,total_freight,state,city,avg_order_value,lifetime_days,is_repeat,avg_days_between,unique_products,r_quartile,r_score,f_score,m_score,rfm_total,segment
1373e04979cfa0fb2092909abbd57f25,118,3,516.8,92.32,BA,valenca,172.26666666666665,91,1,45.5,3,1,4,5,5,14,Champions
139093b1c6e7e3108ac0469ce43bfb99,15,2,289.79,59.33,RJ,niteroi,144.895,350,1,175.0,2,0,5,5,5,15,Champions
13bf0b4120921402dff563cda4383ff6,35,2,138.8,57.7,RJ,rio de janeiro,69.4,245,1,245.0,1,0,5,5,4,14,Champions
142dc6250eac579893595d9889411834,90,2,212.0,28.92,SP,itapecerica da serra,106.0,216,1,216.0,2,0,5,5,5,15,Champions
1450ca0539e1e64a77c08ba841c8be94,43,2,214.49,75.88,SP,araras,107.245,194,1,194.0,2,0,5,5,5,15,Champions
14a188558af6cd5bc222ca773d395a7f,174,2,202.9,42.25,PR,paranagua,101.45,40,1,40.0,2,1,4,5,5,14,Champions
1500da334da019c68fda219f942ba38a,107,2,541.55,55.21000000000001,RS,caxias do sul,270.775,14,1,14.0,2,1,4,5,5,14,Champions
1501fb94311512e6b98462d159e05a23,135,2,478.77,77.81,SP,sao paulo,239.385,0,1,0.0,3,1,4,5,5,14,Champions
1506abf10c09a2872e24d79f33e4eb12,146,2,448.99,21.91,SP,campinas,224.495,23,1,23.0,2,1,4,5,5,14,Champions
151e9edb34867eaece4d6e7ae188f261,69,2,397.8,41.74,PE,recife,198.9,76,1,76.0,2,0,5,5,5,15,Champions
1581a918a58a11d99c69f86d9c0d2098,138,2,163.7,71.28999999999999,BA,brumado,81.85,1,1,0.5,2,1,4,5,4,13,Champions
16c8e42089546fde55ed3caa46478e7a,151,2,128.0,48.13,PA,ananindeua,64.0,139,1,139.0,2,1,4,5,4,13,Champions
1741b0bef7ccbc530ba7287000d5f49f,130,2,294.8,42.79,RS,eldorado do sul,147.4,83,1,83.0,2,1,4,5,5,14,Champions
176df29483e4fb6ce1d6dd1c824ad72d,108,2,127.99,25.71,SP,sao miguel arcanjo,63.995,246,1,246.0,2,1,4,5,4,13,Champions
1772c0fbee58b154da028487de51b74c,42,2,347.85,38.44,SP,sao paulo,173.925,0,1,0.0,2,0,5,5,5,15,Champions
1772d62f5099be6942fbb3d3e881cc7c,124,2,174.8,17.34,SP,sorocaba,87.4,13,1,13.0,2,1,4,5,4,13,Champions
182053495bc94c2f41090ce8c41be266,10,3,169.7,45.2,MG,sabara,56.56666666666666,129,1,64.5,2,0,5,5,4,14,Champions
186638bdb0f600c9bf2bd60e4b14537c,77,2,116.8,47.89,MG,pocos de caldas,58.400000000000006,7,1,3.5,3,0,5,5,4,14,Champions
18753de7f8b65856d23473280e71ceb2,146,2,283.8,40.3,PR,pinhalao,141.9,280,1,280.0,2,1,4,5,5,14,Champions
18a65d67bb184e736656cc017f09f7b8,137,3,179.07,46.43,RJ,rio de janeiro,59.69,51,1,25.5,3,1,4,5,4,13,Champions
18d61a27f478cd6201df948578f814f9,127,2,159.8,26.5,SP,jundiai,79.9,306,1,306.0,2,1,4,5,4,13,Champions
1912afd96bbe171633bb73727487ef85,82,2,229.0,44.68,PR,marechal candido rondon,114.5,146,1,146.0,2,0,5,5,5,15,Champions
191525912e1a31a97bf8b481ce852f75,70,2,225.0,38.64,SP,praia grande,112.5,13,1,13.0,2,0,5,5,5,15,Champions
194f1bab01e4e36f4255603e9a427b89,37,2,219.9,42.66,MG,pouso alegre,109.95,23,1,23.0,2,0,5,5,5,15,Champions
19bedfc18c92d4e7eb6ba318a6c2033c,144,2,1009.79,46.41,RJ,rio de janeiro,504.895,154,1,77.0,2,1,4,5,5,14,Champions
19de4cc79e2c2986e70b155b7631f61c,124,2,164.0,36.08,SP,sao carlos,82.0,299,1,299.0,2,1,4,5,4,13,Champions
1a13743254d9c8e6360106295947932f,59,2,644.48,123.14,RN,sao miguel,322.24,214,1,107.0,2,0,5,5,5,15,Champions
1a27a558aac4c4bfe3642b8c9bffcf4f,26,2,457.9,60.59,SP,parapua,228.95,9,1,9.0,2,0,5,5,5,15,Champions
1a281fe9f53ee457dacd2c9e8ccf861f,64,2,192.4,72.55000000000001,RJ,volta redonda,96.2,326,1,108.66666666666669,2,0,5,5,5,15,Champions
1a2ede4e787ad199c46719ecb02d81ea,12,2,208.24,44.52,SP,sao paulo,104.12,17,1,17.0,2,0,5,5,5,15,Champions
1a328a664417dc7cbff0ed7df49f5a3d,132,2,210.43,42.25,SP,sao carlos,105.215,403,1,201.5,2,1,4,5,5,14,Champions
1ac4011bec2c0d9ce8eceb56bb1142c7,9,2,159.9,32.21,DF,brasilia,79.95,190,1,190.0,2,0,5,5,4,14,Champions
1b7b7f9631cd453251d0b328c9b38a2a,43,2,259.89,50.95,RS,sao leopoldo,129.945,482,1,482.0,2,0,5,5,5,15,Champions
1bcbeccb2851888f299cf9a5dba8553d,23,2,316.99,27.32,SP,catanduva,158.495,56,1,56.0,2,0,5,5,5,15,Champions
1c553721323d2cf153d114724b92118e,145,2,171.8,23.83,SP,franco da rocha,85.9,68,1,68.0,2,1,4,5,4,13,Champions
1c628081cb579ed6035b9aa8614e69f4,99,3,168.9,33.66,SP,ribeirao preto,56.3,51,1,25.5,3,1,4,5,4,13,Champions
1c98969880c8c7c522bc4677dfce9384,159,2,160.98000000000002,70.43,RJ,barra do pirai,80.49000000000001,185,1,92.5,3,1,4,5,4,13,Champions
1ca845c3b11ba93c4ac5182ab9c1197e,146,2,398.0,26.32,PR,curitiba,199.0,15,1,15.0,2,1,4,5,5,14,Champions
1cbda36ee89944baa7a738ddbdc4679a,112,2,501.0,39.72,RJ,niteroi,250.5,224,1,224.0,2,1,4,5,5,14,Champions
1ce879e096d3c38f230acdab7165332e,103,2,129.55,69.83,SP,sao paulo,64.775,28,1,28.0,2,1,4,5,4,13,Champions
1d7e8be24bca64576da891970638bfe3,36,2,199.75,55.72,MG,itauna,99.875,98,1,98.0,2,0,5,5,5,15,Champions
1dcb4c54d17855c39899eb445551501c,82,2,128.9,37.120000000000005,RJ,nova iguacu,64.45,251,1,251.0,2,0,5,5,4,14,Champions
1f9756abd497b76eeccb492bfe91df35,123,2,667.8,178.77,PI,teresina,333.9,44,1,22.0,2,1,4,5,5,14,Champions
1f98d2384ff7a372e6a2d3bb75cbcd54,89,2,1170.0,211.41,MG,sao joao nepomuceno,585.0,1,1,0.125,1,0,5,5,5,15,Champions
2004ba7732339d9be65f2236d8887ae4,111,3,249.95,15.1,RJ,rio de janeiro,83.31666666666666,218,1,109.0,2,1,4,5,5,14,Champions
2028c90d6c4523ae70a285c44010258a,36,2,317.17,21.59,SP,sao bernardo do campo,158.585,131,1,131.0,2,0,5,5,5,15,Champions
204efc7a771f1a33fd28465082171f5b,117,2,264.9,31.21,SP,santa cruz da conceicao,132.45,23,1,23.0,2,1,4,5,5,14,Champions
206b04b38a5dc8404458ec16edeca606,103,2,192.89,33.58,PR,sao jose dos pinhais,96.445,105,1,105.0,2,1,4,5,5,14,Champions
208fe9aa6033a77419f8f503b7698e03,22,2,265.41,133.27,RS,sao leopoldo,132.70499999999998,12,1,6.0,2,0,5,5,5,15,Champions
20ae758fb6688386d9d1540f63d380e0,76,2,227.99,101.84,RS,osorio,113.995,345,1,345.0,2,0,5,5,5,15,Champions
211aaecea827d378c879c2b2f667c89d,48,2,224.95,37.71,SP,sao paulo,112.475,62,1,15.5,1,0,5,5,5,15,Champions
213b36024bb0b8261de0ffbd652ebc34,95,2,378.9,35.510000000000005,SP,indaiatuba,189.45,2,1,2.0,2,1,4,5,5,14,Champions
21559d7ff0ebff720e5e160184338fed,40,2,114.9,56.53,PR,londrina,57.45,403,1,403.0,2,0,5,5,4,14,Champions
216ab90e27f18940cfac8f9f02fb4239,38,2,259.8,43.14,SP,sao jose dos campos,129.9,149,1,149.0,2,0,5,5,5,15,Champions
21de770aa4f3a60388b97b416ad38343,120,2,114.8,35.96,SC,sao jose,57.4,3,1,3.0,2,1,4,5,4,13,Champions
221d59abddcd719f3ec72c50078b9e31,35,2,156.0,36.04,RJ,petropolis,78.0,194,1,194.0,2,0,5,5,4,14,Champions
22ac8971f405f9520b3e7cf37e042ee7,16,2,153.7,53.38,MG,belo horizonte,76.85,195,1,97.5,2,0,5,5,4,14,Champions
230b7f6050862e4d39911debaa3088ef,124,2,159.98,33.06,RJ,rio de janeiro,79.99,8,1,8.0,1,1,4,5,4,13,Champions
231d36f5c4b238c26f449ffd98c79180,113,2,1373.89,155.37,SC,morro da fumaca,686.9449999999999,4,1,4.0,2,1,4,5,5,14,Champions
23339103d82a054f9729b0554ce22e8c,74,3,193.5,50.39,SP,bastos,64.5,16,1,8.0,3,0,5,5,5,15,Champions
24072811917876a84c81166f96aed0c1,83,2,383.9,34.730000000000004,MG,sao pedro dos ferros,191.95,510,1,510.0,2,0,5,5,5,15,Champions
240f980f7c03e873c538e86792646919,21,2,514.0,39.8,SE,itabaiana,257.0,29,1,29.0,2,0,5,5,5,15,Champions
24391449252cf6db04ce271b2a208d83,133,2,319.84000000000003,64.28,MG,dores do indaia,159.92000000000002,51,1,25.5,3,1,4,5,5,14,Champions
243b99bd9ed8a3f460e7289d0a8df291,73,2,229.54,24.21,SP,sao paulo,114.77,180,1,90.0,2,0,5,5,5,15,Champions
25a1ad8a564d758f233c587cc657aa4b,107,2,445.89,36.63,SP,paraiso,222.945,277,1,277.0,2,1,4,5,5,14,Champions
25c88b7eff936d6a6fed64142b760035,42,2,441.28,63.48,RJ,rio de janeiro,220.64,0,1,0.0,2,0,5,5,5,15,Champions
2642f11f7c5588a63213b5e67e8ad0a7,24,2,255.19,36.27,SP,ourinhos,127.595,4,1,4.0,2,0,5,5,5,15,Champions
26a6e3e036636ef1d5636f98b66094cc,71,3,428.84,51.68,SP,sao joaquim da barra,142.9466666666667,153,1,76.5,3,0,5,5,5,15,Champions
26a9b95058d46f1e6a685688355a1cdb,104,2,175.94,46.4,RS,porto alegre,87.97,0,1,0.0,1,1,4,5,4,13,Champions
26e025af2347c3968f6a578f853a9da2,106,2,299.0,114.12,CE,hidrolandia,149.5,223,1,223.0,2,1,4,5,5,14,Champions
26f06401a5374fd3d26b6eed06af675f,173,2,221.9,81.04,MG,piranguinho,110.95,0,1,0.0,4,1,4,5,5,14,Champions
272f0ffe236b0bf765e14f5a2b577a6b,27,2,297.9,21.92,SP,sao bernardo do campo,148.95,182,1,182.0,2,0,5,5,5,15,Champions
2767f1bba0529fe3f48378c05ea40f0f,146,2,169.8,26.78,SP,mogi mirim,84.9,279,1,279.0,2,1,4,5,4,13,Champions
27eecff5a6338f7c36c78ad05eacc575,12,2,511.0,36.74,PR,xambre,255.5,9,1,9.0,2,0,5,5,5,15,Champions
282d49fddab8e95a8673a2a90072cf5c,60,2,621.89,33.2,MG,sete lagoas,310.945,390,1,390.0,2,0,5,5,5,15,Champions
28aea3e12549a3611bbd8d4e3310e4fa,84,2,194.0,31.12,RJ,rio de janeiro,97.0,15,1,15.0,2,0,5,5,5,15,Champions
291d020953194db1b8578ff8d9959c62,86,2,280.0,175.4,SP,guaracai,140.0,48,1,16.0,2,0,5,5,5,15,Champions
295c05e81917928d76245e842748184d,84,2,248.97,32.53,SP,sao paulo,124.485,90,1,90.0,2,0,5,5,5,15,Champions
297ec5afd18366f5ba27520cc4954151,108,3,1392.44,58.56,SP,sao paulo,464.1466666666667,85,1,28.33333333333333,3,1,4,5,5,14,Champions
298c3e1a698283a45f1c94df3942bb3b,153,2,114.99,21.9,SP,sao paulo,57.495,25,1,25.0,2,1,4,5,4,13,Champions
29d72fba272ad06ed0b2ac6351da042f,99,2,239.9,28.06,SP,sao jose do rio preto,119.95,104,1,104.0,2,1,4,5,5,14,Champions
29f8e372b3b1d42ad2e00a0b976bfc34,120,2,441.35,46.53,SP,osasco,220.675,257,1,128.5,3,1,4,5,5,14,Champions
2a17d0a71f5910d7207819f9ca9ec12b,25,2,118.3,27.7,SP,sao paulo,59.150000000000006,220,1,220.0,2,0,5,5,4,14,Champions
2a34af7c4b1b83d78b14cf6b9c32c3b9,156,2,204.9,18.009999999999998,SP,sao paulo,102.45,137,1,137.0,2,1,4,5,5,14,Champions
2a36404701b15c414647a2ec2102baba,50,2,314.0,50.63,MT,comodoro,157.0,265,1,265.0,2,0,5,5,5,15,Champions
2b0d2a4ffe3906cd18019c2463cfeee9,56,2,498.98,18.02,SP,indaiatuba,249.49,21,1,21.0,1,0,5,5,5,15,Champions
2b161eaf4956b131691842e87b3c39c7,169,3,195.04,30.13,SP,valinhos,65.01333333333334,13,1,6.5,3,1,4,5,5,14,Champions
2b5ffb4c42d26e466ad575ecce365aa2,138,2,115.9,32.61,RJ,rio de janeiro,57.95,395,1,395.0,2,1,4,5,4,13,Champions
2be5dce8b491a7bc6a65d6e91bf49812,5,2,124.48,26.13,SP,aracatuba,62.24,257,1,257.0,2,0,5,5,4,14,Champions
2c45ab66a3dae52960147e76a35740ff,27,2,191.9,36.69,RS,santa maria,95.95,226,1,226.0,2,0,5,5,5,15,Champions
2ccc5d0620e07e3b54b83848c31a08fa,165,2,148.0,32.349999999999994,ES,vila velha,74.0,22,1,22.0,2,1,4,5,4,13,Champions
2d14556024f4bbe01f147576097c42fe,23,2,228.9,91.5,AL,piacabucu,114.45,208,1,208.0,2,0,5,5,5,15,Champions
2d49eaf79111ff286fe657aadbed5a28,114,2,112.89,38.06,PR,cianorte,56.445,288,1,288.0,2,1,4,5,4,13,Champions
2d5e5796e7901464c00407e69739c6db,86,2,177.0,40.39,RJ,nilopolis,88.5,350,1,350.0,2,0,5,5,4,14,Champions
2ddaeeb8948d70423c3326843412fccf,68,2,128.0,15.42,SP,sao paulo,64.0,6,1,6.0,1,0,5,5,4,14,Champions
2ddc001b620bd90d0f4378cfde1db887,147,4,444.35,78.58,SP,osasco,111.0875,186,1,46.5,4,1,4,5,5,14,Champions
2e49a3bbeb76297ee0ff49df39c2456c,9,2,244.8,47.85,RJ,rio de janeiro,122.4,485,1,242.5,2,0,5,5,5,15,Champions
2e7c511f54e9d94776c606007d672a22,140,2,599.7,29.25,SP,campinas,299.85,1,1,0.5,1,1,4,5,5,14,Champions
2f118e666b41b76a61d8cdbbc19f7735,59,2,325.0,39.63,SP,bilac,162.5,236,1,236.0,2,0,5,5,5,15,Champions
